Zip_Code,Mean,Median
72110,51029,37136
72173,56573,45089
72032,73391,70609
72034,72984,60480
72034,0,0
72034,120893,300000
72949,51212,40484
72928,52530,42909
72583,38899,27533
71901,80402,62781
71913,29634,16512
72401,39872,28142
71914,54421,41431
71913,21864,11410
71901,97639,78239
71901,44210,27092
71949,62805,50487
72128,50685,40898
72450,50396,44103
72450,27815,15254
72450,51144,33179
71801,32222,30537
72932,48523,42197
71801,22017,18481
72104,36459,31107
71941,48426,41240
71851,64750,48474
72501,43354,31693
72562,40829,34719
72501,49170,42459
72517,42618,34573
72112,50491,35982
72112,33450,24307
72301,31132,21907
71602,95008,85442
71601,42802,29472
71603,29997,18140
71603,21785,12312
72653,44162,36614
71601,43272,24558
71603,65950,51064
72004,34661,26162
72830,56068,300000
72846,56864,35472
72476,39883,29593
72364,37679,33388
72433,34824,21619
72372,51008,34422
71667,50728,34703
71822,63638,35204
71836,52593,37712
72943,62133,42437
72176,51697,45977
72023,75147,65659
72076,52529,52750
72046,60938,47062
72331,32203,18558
72740,52841,40233
72687,46070,38190
72634,45933,35076
71854,70530,60541
71854,50676,42362
71854,62143,49487
71854,112500,300000
72315,27570,21012
72315,53596,38506
72351,53389,39110
71639,44337,28121
72395,43785,32171
72029,45955,29222
71960,47531,39831
72641,50710,40104
71701,44152,37804
71701,54215,37294
71701,31220,16773
72853,51845,40779
72366,27554,25602
72390,15542,12837
72058,64857,57368
71958,45561,25354
72432,47081,35799
72432,36571,24784
71953,41625,35775
71972,49931,38788
72837,47160,33316
72801,40602,36427
72801,37337,31100
72064,57163,44761
72206,37068,30565
72032,56859,53241
72205,56326,58050
72207,118293,300000
72204,40534,16264
72204,35996,26389
72207,53695,51396
72205,54392,47118
72204,30485,26911
72201,42047,28859
72114,25890,14822
72114,23660,11902
72034,76936,67814
72118,35859,23494
72116,41187,33243
72120,63412,42307
72076,80662,70656
72076,41487,37609
72120,94958,84660
72120,80686,82872
72076,54491,44761
72206,56228,48817
72206,44669,31940
71901,54289,41852
72209,39345,32298
72223,91219,54396
72223,149418,164759
72223,58152,45145
72210,67466,66294
72113,50170,46464
72206,28540,19887
72205,40976,29117
72444,64303,58931
72455,35269,35855
71913,30039,22404
72335,27555,19354
72335,59725,38123
72015,56901,300000
72022,71425,300000
72022,62584,300000
72022,70917,63490
72022,72055,53065
72022,104980,108297
72015,45529,36888
72675,50015,34177
72150,67369,56525
72904,31717,25789
72904,25135,20001
72904,34686,28516
72903,33300,20279
72901,37088,24484
72903,44789,35484
72903,80357,66725
72908,85554,70685
72936,51340,53715
72938,49288,25523
72450,56461,47335
71832,35834,30952
72542,43294,32640
72521,32776,32383
72560,38293,23741
72751,83571,67751
71762,54222,46745
71730,51926,51461
71730,31279,25788
71730,31112,23904
72031,51943,42011
72764,81375,65524
72104,37324,27900
72703,47481,43226
72764,47419,35851
72764,46287,50135
72762,68276,44580
72730,82887,81414
72762,84076,72153
72703,19925,15813
72730,46644,27077
72701,22348,12106
72764,43882,34614
72562,48144,38156
72121,59291,40844
72143,36214,28270
72143,66934,43275
72012,69736,66983
72012,74781,58570
72006,40892,33536
72834,54745,45401
72112,38790,24601
71601,33541,21456
71601,39499,28399
72830,48258,39484
72433,34800,26296
71822,53566,37055
72023,81407,72033
72086,69614,58416
72756,58396,43440
72687,46497,38527
71854,45439,29570
72315,59919,48930
72029,46384,33291
71701,51434,33789
72390,39977,25018
72472,49235,46187
72843,43222,36733
72802,43878,38414
72205,69200,51672
72714,75247,70059
72212,81944,72307
72114,28992,19923
72118,39637,32031
72076,53346,41189
72120,67709,58056
72103,33569,24654
72223,122566,112106
72113,72438,52462
72455,50214,43510
72015,62395,52947
72734,55902,46995
72206,53274,43290
72958,53636,47154
72904,28749,23600
72901,38171,33068
72042,62145,37402
72937,72302,55632
72680,42872,31287
71730,63101,51070
72701,88997,67166
72762,83684,60357
72703,51116,34990
72745,87613,68801
72020,52801,38865
